@category	Mac OS Classic
0xD9	0x05B0
0xDA	0x05B2
0xDB	0x05B1
0xDC	0x05BB
0xDD	0x05B9
0xDE	0x05B8+0xF87F
0xDF	0x05B3
0xE0	0x05D0
0xE1	0x05D1
0xE2	0x05D2
0xE3	0x05D3
0xE4	0x05D4
0xE5	0x05D5
0xE6	0x05D6
0xE7	0x05D7
0xE8	0x05D8
0xE9	0x05D9
0xEA	0x05DA
0xEB	0x05DB
0xEC	0x05DC
0xED	0x05DD
0xEE	0x05DE
0xEF	0x05DF
0xF0	0x05E0
0xF1	0x05E1
0xF2	0x05E2
0xF3	0x05E3
0xF4	0x05E4
0xF5	0x05E5
0xF6	0x05E6
0xF7	0x05E7
0xF8	0x05E8
0xF9	0x05E9
0xFA	0x05EA
0xFB	0x202E+0x007D+0x202C
AxFB	Ax007D
0xFC	0x202E+0x005D+0x202C
AxFC	Ax005D
0xFD	0x202E+0x007B+0x202C
AxFD	Ax007B
0xFE	0x202E+0x005B+0x202C
AxFE	Ax005B
0xFF	0x202E+0x007C+0x202C
AxFF	Ax007C
